id,main_places,sub_places,sub2_places,rating,time
Sportsathlete,"Munnar, India","Chithirapuram, India",Chandy's Windy Woods Spa,5, January 2020
Travellinguli,"Munnar, India","Chithirapuram, India",Chandy's Windy Woods Spa,5, December 2019
123Margaret4711,"Munnar, India","Chithirapuram, India",Chandy's Windy Woods Spa,5, November 2019
Suhas,"Munnar, India","Chinnakanal, India",Kolukkumalai Tea Estate,5, April 2019
Shvethang,"Munnar, India","Chinnakanal, India",Kolukkumalai Tea Estate,5, November 2019
Soumyajit Saha,"Munnar, India","Chinnakanal, India",Kolukkumalai Tea Estate,3, July 2019
Ajo kurian,"Munnar, India","Chinnakanal, India",Kolukkumalai Tea Estate,5, May 2019
Indus Holidays,"Munnar, India","Chinnakanal, India",Lock Heart Gap,4, September 2019
RakeshS,"Munnar, India","Chinnakanal, India",Lock Heart Gap,4, September 2019
RodPerth35,"Munnar, India","Chinnakanal, India",Lock Heart Gap,5, August 2019
SumitThakur,"Munnar, India","Chinnakanal, India",Lock Heart Gap,5, May 2019
Abdur Rahman,"Munnar, India","Chinnakanal, India",Lock Heart Gap,5, January 2019
Rajesh Sood,"Munnar, India","Chinnakanal, India",Lockhart Tea Museum,2, February 2020
Ashwin,"Munnar, India","Chinnakanal, India",Lockhart Tea Museum,1, November 2019
M.P.,"Munnar, India","Chinnakanal, India",Lockhart Tea Museum,1, February 2020
maheshdodiya,"Munnar, India","Chinnakanal, India",Lockhart Tea Museum,3, February 2020
Shan L,"Munnar, India","Chinnakanal, India",Lockhart Tea Museum,3, February 2020
