id,main_places,sub_places,sub2_places,rating,time
Sportsathlete,"Munnar, India","Chithirapuram, India",Chandy's Windy Woods Spa,5, January 2020
Travellinguli,"Munnar, India","Chithirapuram, India",Chandy's Windy Woods Spa,5, December 2019
123Margaret4711,"Munnar, India","Chithirapuram, India",Chandy's Windy Woods Spa,5, November 2019
SKG109,"Munnar, India","Pothamedu, India",Photo Point,3, February 2020
eric,"Munnar, India","Pothamedu, India",Photo Point,3, January 2020
drnDerin,"Munnar, India","Pothamedu, India",Photo Point,5, March 2019
Indus Holidays,"Munnar, India","Chinnakanal, India",Lock Heart Gap,4, September 2019
RakeshS,"Munnar, India","Chinnakanal, India",Lock Heart Gap,4, September 2019
RodPerth35,"Munnar, India","Chinnakanal, India",Lock Heart Gap,5, August 2019
SumitThakur,"Munnar, India","Chinnakanal, India",Lock Heart Gap,5, May 2019
Abdur Rahman,"Munnar, India","Chinnakanal, India",Lock Heart Gap,5, January 2019
Bharat_Tank,"Munnar, India","Chinnakanal, India",Lock Heart Gap,5, December 2018
UmaBG,"Munnar, India","Chinnakanal, India",Lock Heart Gap,4, November 2018
Sofy Pathan,"Munnar, India","Chinnakanal, India",Lock Heart Gap,5, January 2018
jayesh v,"Munnar, India","Chinnakanal, India",Lock Heart Gap,5, December 2017
cheraitaxi,"Munnar, India","Chinnakanal, India",Lock Heart Gap,5, May 2018
Suhas,"Munnar, India","Chinnakanal, India",Kolukkumalai Tea Estate,5, April 2019
Shvethang,"Munnar, India","Chinnakanal, India",Kolukkumalai Tea Estate,5, November 2019
Soumyajit Saha,"Munnar, India","Chinnakanal, India",Kolukkumalai Tea Estate,3, July 2019
Ajo kurian,"Munnar, India","Chinnakanal, India",Kolukkumalai Tea Estate,5, May 2019
Leo Agustine,"Munnar, India","Chinnakanal, India",Anayirankal Dam Reservoir,5, February 2020
Heera,"Munnar, India","Chinnakanal, India",Anayirankal Dam Reservoir,5, December 2019
Adhik,"Munnar, India","Chinnakanal, India",Anayirankal Dam Reservoir,5, November 2019
Sri,"Munnar, India","Chinnakanal, India",Power House Falls,4, January 2020
shradhapatkar10,"Munnar, India","Chinnakanal, India",Power House Falls,5, July 2018
Sudip Rai,"Munnar, India","Chinnakanal, India",Power House Falls,4, June 2018
sonamya,"Munnar, India","Chinnakanal, India",Power House Falls,5, May 2018
VGP2012,"Munnar, India","Chinnakanal, India",Power House Falls,4, December 2017
SURAJ K,"Munnar, India","Chinnakanal, India",Power House Falls,3, March 2018
d j,"Munnar, India","Chinnakanal, India",Power House Falls,4, March 2017
oldakwasi,"Munnar, India","Chinnakanal, India",Power House Falls,4, November 2017
0703Vas63,"Munnar, India","Chinnakanal, India",Tea Town Kerala - Munnar,5, December 2019
Mohamed Akbar,"Munnar, India","Chinnakanal, India",Tea Town Kerala - Munnar,5, August 2018
legacyendeavors,"Munnar, India","Chinnakanal, India",Tea Town Kerala - Munnar,5, January 2019
mks3210,"Munnar, India","Chinnakanal, India",Dr.Bala Falls,4, June 2018
Traveloney,"Munnar, India","Chinnakanal, India",Dr.Bala Falls,4, February 2018
pandi,"Munnar, India","Chinnakanal, India",The Grape Adventures & Holidays,5, November 2019
Mathu,"Munnar, India","Chinnakanal, India",The Grape Adventures & Holidays,5, September 2019
Raja,"Munnar, India","Chinnakanal, India",The Grape Adventures & Holidays,5, October 2019
Alexaldericjero,"Munnar, India","Chinnakanal, India",Periyakanal Waterfalls,5, November 2019
Georgethomas1996,"Munnar, India","Chinnakanal, India",Periyakanal Waterfalls,5, September 2019
rakeDelhi,"Munnar, India","Chinnakanal, India",Periyakanal Waterfalls,4, March 2019
UmaBG,"Munnar, India","Chinnakanal, India",Periyakanal Waterfalls,4, November 2018
